id,claim,explanation,actual,predicted,correct,time_sec
0,"""The WIC program """"is an incredibly cost effective program, serving nearly 10 million Americans each year and costing less than $100 per person. In my district, more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet.""",Rep. Cicilline says WIC costs $100 per person and 18 percent of people in his district depend on it,False,False,True,0.21902799606323242
1, A commentary headlined “Why I Left California” about the progressive destruction of California lists detrimental bills and government policies approved by the California Legislature. ,"""""""Why I left California"""" Commentary About """"The Progressive Destruction of California""""""",Misleading,True,False,0.16762924194335938
2,"Robot prostate surgery has downsides, needs more data","This is a story about a study examining the costs, harms and the impact of doctor experience associated with the use of robotic prostatectomy. The story raised some important issues that are not ordinarily broached during patient – doctor conversations. While raising some potential red flags with respect to doctor experience, the story failed to critically examine what, if any, benefit there might be to this particular surgical approach. While it is valuable to know that after completing 80 procedures of this type, a surgeon is no longer apt to leave cancerous tissue behind, it is also important to know if there is any value added by having this more expensive procedure. The story does serve as an important reminder to consumers that more modern sounding approaches do not necessarily offer the patient a less problem plagued experience. This story is provides an example for consumers to consider about the value in knowing about both the benefits as well as the harms associated with whatever treatment option they are considering. Further – the story raises the point that newer or seemingly more sophisticated treatments are not always superior to lower-tech options.",True,True,True,0.20644807815551758
3,"""A California pastor praised the Orlando nightclub shooting, saying that it's a tragedy more homosexual """"predators"""" and """"pedophiles"""" didn't die.""","""A California pastor praised the Orlando nightclub shooting, saying that it's a tragedy more """"predators"""" and """"pedophiles"""" didn't die.""",True,True,True,0.20613646507263184
4,Vegetarian and Mediterranean diet may be equally effective in preventing heart disease,"The subject of the news release is a newly published, randomized, controlled study comparing the effects of a Mediterranean diet and a lacto-ovo vegetarian diet (which excludes meat and fish but allows eggs and dairy) on total body weight, BMI, fat mass, and cholesterol levels. The release clearly outlines the differences in the two diets and makes it clear this is the first head-to-head comparison of these two diets within groups of meat consumers. But the news release falls short in not including many of the study’s limitations, as well as making it clear to readers that the study outcomes are based on surrogate markers that cannot draw direct conclusions about “preventing heart disease” or stroke as implied. According to the CDC, heart disease is the leading cause of death in the U.S., with more than  600,000 deaths per year. Dietary patterns are known to affect our risk for heart disease, and represent an opportunity for each of us to modify that risk. What concerns most of us is having the duration or quality of our life affected by a heart attack, stroke, or other cardiovascular disease. So studies which actually look at hard outcomes like that — rather than surrogate markers such as cholesterol levels measured over just a few months — are more relevant to more people. Furthermore, studies which look at the effect of diet on major diseases like cancer, heart disease, diabetes, and stroke aren’t just widespread, but often lead to wide-ranging and wide-reaching news coverage. Such studies usually have significant limitations, debatable outcomes, and are prone to unjustified or hyperbolic language. This places a premium on journalists covering such studies to look for independent viewpoints, and a premium on readers for staying skeptical.",Misleading,False,False,0.20530343055725098
5,"""In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation"""" of """"the Hyde amendment.""","John Cornyn says Planned Parenthood provided abortions, fielded aid, violating Hyde amendment",False,False,True,0.20215487480163574
6,"""Nancy Gavin penned a real-life story of a """"man who hated Christmas"""" and the significance of a """"little white envelope"""" for their family.""",‘The Little White Envelope for the Man Who Hated Christmas’ Posts,Misleading,True,False,0.16099762916564941
7,Fat Hormone May Trick the Body to Help It Keep Extra Pounds Off,"This piece reported that use of twice daily injections of a synthesized version of the hormone leptin helped maintain weight loss in a small group of individuals who lost 10% of their body weight in the preceding 5-10 weeks by following a very low-calorie diet. There was no comparison group of people who did not receive the twice-daily injections fed a comparable number of calories following weight loss. No context was given, providing no mention of any other weight loss maintenance methods. The conclusion that this study (of an injected hormone) “suggests that the weight loss solution may eventually be a pill” is totally unsupported by anything in the original research. And it conflicts with a line that appeared just three sentences earlier in the story, which explained, “the lead investigator said the 10-week study was too short and too small to determine whether continuous leptin treatments could allow dieters to keep off their weight permanently and effortlessly.” Finally, the story did not reveal that in the study, subjects were fed a meager 800 calories a day, which is more akin to starvation than to dieting. So it makes the conclusion of the story even less relevant to dieters trying to keep weight off, which was the way the story was framed.",False,False,True,0.20945167541503906
8,"""Facebook post Says """"Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.”""",Pelosi does not have the power to “demand” mail-in voting for November; that is being decided by each state governor   The HEROES Act includes election funding for states to conduct safe elections in any form during COVID-19,False,True,False,0.16281533241271973
9,Energy drinks caused an expectant father to lose a large portion of his skull.,"However, in the lack of additional information we cannot know if doctors did indeed diagnose a man named Austin with a brain hemorrhage, if they attributed the hemorrhage to an energy drink, and if they were correct in doing so. If events did indeed occur this way, they would be — based on the scientific literature — extremely rare.",Misleading,False,False,0.2047574520111084
10,"""Commercial buses in the United States have """"a stellar safety record, a safety record that exceeds that of any other commercial mode or surface transportation mode.""",Bus association head says buses safest mode of commercial transportation,Misleading,False,False,0.2159125804901123
11,"Facebook post Says all Vegas hotels but Trump’s have donated food, rooms in COVID response.",Some Las Vegas hotels have given free hotel rooms to emergency responders working through the coronavirus outbreak. Trump’s Las Vegas hotel has not. But it is not the only exception.,False,True,False,0.1609785556793213
